brand,image_file,path,source
acura,Acura_ILX_2013_28_16_110_15_4_70_55_179_39_FWD_5_4_4dr_aWg.jpg,Car Brand Classification Dataset\train\Acura\Acura_ILX_2013_28_16_110_15_4_70_55_179_39_FWD_5_4_4dr_aWg.jpg,dataset1
acura,Acura_ILX_2013_28_16_110_15_4_70_55_179_39_FWD_5_4_4dr_Gzs.jpg,Car Brand Classification Dataset\train\Acura\Acura_ILX_2013_28_16_110_15_4_70_55_179_39_FWD_5_4_4dr_Gzs.jpg,dataset1
acura,Acura_ILX_2013_28_16_110_15_4_70_55_179_39_FWD_5_4_4dr_Mro.jpg,Car Brand Classification Dataset\train\Acura\Acura_ILX_2013_28_16_110_15_4_70_55_179_39_FWD_5_4_4dr_Mro.jpg,dataset1
acura,Acura_ILX_2013_28_16_110_15_4_70_55_179_39_FWD_5_4_4dr_onJ.jpg,Car Brand Classification Dataset\train\Acura\Acura_ILX_2013_28_16_110_15_4_70_55_179_39_FWD_5_4_4dr_onJ.jpg,dataset1
acura,Acura_ILX_2013_28_16_110_15_4_70_55_179_39_FWD_5_4_4dr_RuR.jpg,Car Brand Classification Dataset\train\Acura\Acura_ILX_2013_28_16_110_15_4_70_55_179_39_FWD_5_4_4dr_RuR.jpg,dataset1
acura,Acura_ILX_2013_28_16_110_15_4_70_55_179_39_FWD_5_4_4dr_Wxn.jpg,Car Brand Classification Dataset\train\Acura\Acura_ILX_2013_28_16_110_15_4_70_55_179_39_FWD_5_4_4dr_Wxn.jpg,dataset1
acura,Acura_ILX_2013_28_16_110_15_4_70_55_179_39_FWD_5_4_4dr_yAs.jpg,Car Brand Classification Dataset\train\Acura\Acura_ILX_2013_28_16_110_15_4_70_55_179_39_FWD_5_4_4dr_yAs.jpg,dataset1
acura,Acura_ILX_2013_28_16_110_15_4_70_55_179_39_FWD_5_4_4dr_ylA.jpg,Car Brand Classification Dataset\train\Acura\Acura_ILX_2013_28_16_110_15_4_70_55_179_39_FWD_5_4_4dr_ylA.jpg,dataset1
acura,Acura_ILX_2014_28_16_110_15_4_70_55_179_39_FWD_5_4_4dr_AWy.jpg,Car Brand Classification Dataset\train\Acura\Acura_ILX_2014_28_16_110_15_4_70_55_179_39_FWD_5_4_4dr_AWy.jpg,dataset1
acura,Acura_ILX_2014_28_16_110_15_4_70_55_179_39_FWD_5_4_4dr_JvV.jpg,Car Brand Classification Dataset\train\Acura\Acura_ILX_2014_28_16_110_15_4_70_55_179_39_FWD_5_4_4dr_JvV.jpg,dataset1
acura,Acura_ILX_2014_28_16_110_15_4_70_55_179_39_FWD_5_4_4dr_Klc.jpg,Car Brand Classification Dataset\train\Acura\Acura_ILX_2014_28_16_110_15_4_70_55_179_39_FWD_5_4_4dr_Klc.jpg,dataset1
acura,Acura_ILX_2014_28_16_110_15_4_70_55_179_39_FWD_5_4_4dr_NIH.jpg,Car Brand Classification Dataset\train\Acura\Acura_ILX_2014_28_16_110_15_4_70_55_179_39_FWD_5_4_4dr_NIH.jpg,dataset1
acura,Acura_ILX_2014_28_16_110_15_4_70_55_179_39_FWD_5_4_4dr_QkT.jpg,Car Brand Classification Dataset\train\Acura\Acura_ILX_2014_28_16_110_15_4_70_55_179_39_FWD_5_4_4dr_QkT.jpg,dataset1
acura,Acura_ILX_2014_28_16_110_15_4_70_55_179_39_FWD_5_4_4dr_yBL.jpg,Car Brand Classification Dataset\train\Acura\Acura_ILX_2014_28_16_110_15_4_70_55_179_39_FWD_5_4_4dr_yBL.jpg,dataset1
acura,Acura_ILX_2015_27_17_150_20_4_70_55_179_24_FWD_5_4_4dr_LJN.jpg,Car Brand Classification Dataset\train\Acura\Acura_ILX_2015_27_17_150_20_4_70_55_179_24_FWD_5_4_4dr_LJN.jpg,dataset1
acura,Acura_ILX_2015_27_17_150_20_4_70_55_179_24_FWD_5_4_4dr_ubo.jpg,Car Brand Classification Dataset\train\Acura\Acura_ILX_2015_27_17_150_20_4_70_55_179_24_FWD_5_4_4dr_ubo.jpg,dataset1
acura,Acura_ILX_2015_27_17_150_20_4_70_55_179_24_FWD_5_4_4dr_UUp.jpg,Car Brand Classification Dataset\train\Acura\Acura_ILX_2015_27_17_150_20_4_70_55_179_24_FWD_5_4_4dr_UUp.jpg,dataset1
acura,Acura_ILX_2016_27_17_200_24_4_70_55_181_25_FWD_5_4_4dr_cAE.jpg,Car Brand Classification Dataset\train\Acura\Acura_ILX_2016_27_17_200_24_4_70_55_181_25_FWD_5_4_4dr_cAE.jpg,dataset1
acura,Acura_ILX_2016_27_17_200_24_4_70_55_181_25_FWD_5_4_4dr_cHR.jpg,Car Brand Classification Dataset\train\Acura\Acura_ILX_2016_27_17_200_24_4_70_55_181_25_FWD_5_4_4dr_cHR.jpg,dataset1
acura,Acura_ILX_2016_27_17_200_24_4_70_55_181_25_FWD_5_4_4dr_DyV.jpg,Car Brand Classification Dataset\train\Acura\Acura_ILX_2016_27_17_200_24_4_70_55_181_25_FWD_5_4_4dr_DyV.jpg,dataset1
acura,Acura_ILX_2016_27_17_200_24_4_70_55_181_25_FWD_5_4_4dr_EsR.jpg,Car Brand Classification Dataset\train\Acura\Acura_ILX_2016_27_17_200_24_4_70_55_181_25_FWD_5_4_4dr_EsR.jpg,dataset1
acura,Acura_ILX_2016_27_17_200_24_4_70_55_181_25_FWD_5_4_4dr_hjw.jpg,Car Brand Classification Dataset\train\Acura\Acura_ILX_2016_27_17_200_24_4_70_55_181_25_FWD_5_4_4dr_hjw.jpg,dataset1
acura,Acura_ILX_2016_27_17_200_24_4_70_55_181_25_FWD_5_4_4dr_nip.jpg,Car Brand Classification Dataset\train\Acura\Acura_ILX_2016_27_17_200_24_4_70_55_181_25_FWD_5_4_4dr_nip.jpg,dataset1
acura,Acura_ILX_2016_27_17_200_24_4_70_55_181_25_FWD_5_4_4dr_NsG.jpg,Car Brand Classification Dataset\train\Acura\Acura_ILX_2016_27_17_200_24_4_70_55_181_25_FWD_5_4_4dr_NsG.jpg,dataset1
acura,Acura_ILX_2016_27_17_200_24_4_70_55_181_25_FWD_5_4_4dr_pdT.jpg,Car Brand Classification Dataset\train\Acura\Acura_ILX_2016_27_17_200_24_4_70_55_181_25_FWD_5_4_4dr_pdT.jpg,dataset1
acura,Acura_ILX_2016_27_17_200_24_4_70_55_181_25_FWD_5_4_4dr_uUU.jpg,Car Brand Classification Dataset\train\Acura\Acura_ILX_2016_27_17_200_24_4_70_55_181_25_FWD_5_4_4dr_uUU.jpg,dataset1
acura,Acura_ILX_2016_27_17_200_24_4_70_55_181_25_FWD_5_4_4dr_VbZ.jpg,Car Brand Classification Dataset\train\Acura\Acura_ILX_2016_27_17_200_24_4_70_55_181_25_FWD_5_4_4dr_VbZ.jpg,dataset1
acura,Acura_ILX_2016_27_17_200_24_4_70_55_181_25_FWD_5_4_4dr_Xgy.jpg,Car Brand Classification Dataset\train\Acura\Acura_ILX_2016_27_17_200_24_4_70_55_181_25_FWD_5_4_4dr_Xgy.jpg,dataset1
acura,Acura_ILX_2016_27_17_200_24_4_70_55_181_25_FWD_5_4_4dr_ZSn.jpg,Car Brand Classification Dataset\train\Acura\Acura_ILX_2016_27_17_200_24_4_70_55_181_25_FWD_5_4_4dr_ZSn.jpg,dataset1
acura,Acura_ILX_2017_27_17_200_24_4_70_55_181_25_FWD_5_4_4dr_lTU.jpg,Car Brand Classification Dataset\train\Acura\Acura_ILX_2017_27_17_200_24_4_70_55_181_25_FWD_5_4_4dr_lTU.jpg,dataset1
acura,Acura_ILX_2017_27_17_200_24_4_70_55_181_25_FWD_5_4_4dr_MMF.jpg,Car Brand Classification Dataset\train\Acura\Acura_ILX_2017_27_17_200_24_4_70_55_181_25_FWD_5_4_4dr_MMF.jpg,dataset1
acura,Acura_ILX_2019_25_17_200_24_4_70_55_182_24_FWD_5_4_4dr_agK.jpg,Car Brand Classification Dataset\train\Acura\Acura_ILX_2019_25_17_200_24_4_70_55_182_24_FWD_5_4_4dr_agK.jpg,dataset1
