brand,image_file,path
acura,acura_0000.png,/srv/groups/group2/data/Dataset/Car Brand Classification Dataset/train/Acura/acura_0000.png
acura,acura_0001.png,/srv/groups/group2/data/Dataset/Car Brand Classification Dataset/train/Acura/acura_0001.png
acura,acura_0002.png,/srv/groups/group2/data/Dataset/Car Brand Classification Dataset/train/Acura/acura_0002.png
acura,acura_0003.png,/srv/groups/group2/data/Dataset/Car Brand Classification Dataset/train/Acura/acura_0003.png
acura,acura_0004.png,/srv/groups/group2/data/Dataset/Car Brand Classification Dataset/train/Acura/acura_0004.png
acura,acura_0005.png,/srv/groups/group2/data/Dataset/Car Brand Classification Dataset/train/Acura/acura_0005.png
acura,acura_0006.png,/srv/groups/group2/data/Dataset/Car Brand Classification Dataset/train/Acura/acura_0006.png
acura,acura_0007.png,/srv/groups/group2/data/Dataset/Car Brand Classification Dataset/train/Acura/acura_0007.png
acura,acura_0008.png,/srv/groups/group2/data/Dataset/Car Brand Classification Dataset/train/Acura/acura_0008.png
acura,acura_0009.png,/srv/groups/group2/data/Dataset/Car Brand Classification Dataset/train/Acura/acura_0009.png
acura,acura_0010.png,/srv/groups/group2/data/Dataset/Car Brand Classification Dataset/train/Acura/acura_0010.png
acura,acura_0011.png,/srv/groups/group2/data/Dataset/Car Brand Classification Dataset/train/Acura/acura_0011.png
acura,acura_0012.png,/srv/groups/group2/data/Dataset/Car Brand Classification Dataset/train/Acura/acura_0012.png
acura,acura_0013.png,/srv/groups/group2/data/Dataset/Car Brand Classification Dataset/train/Acura/acura_0013.png
acura,acura_0014.png,/srv/groups/group2/data/Dataset/Car Brand Classification Dataset/train/Acura/acura_0014.png
acura,acura_0015.png,/srv/groups/group2/data/Dataset/Car Brand Classification Dataset/train/Acura/acura_0015.png
acura,acura_0016.png,/srv/groups/group2/data/Dataset/Car Brand Classification Dataset/train/Acura/acura_0016.png
acura,acura_0017.png,/srv/groups/group2/data/Dataset/Car Brand Classification Dataset/train/Acura/acura_0017.png
acura,acura_0018.png,/srv/groups/group2/data/Dataset/Car Brand Classification Dataset/train/Acura/acura_0018.png
acura,acura_0019.png,/srv/groups/group2/data/Dataset/Car Brand Classification Dataset/train/Acura/acura_0019.png
acura,acura_0020.png,/srv/groups/group2/data/Dataset/Car Brand Classification Dataset/train/Acura/acura_0020.png
acura,acura_0021.png,/srv/groups/group2/data/Dataset/Car Brand Classification Dataset/train/Acura/acura_0021.png
acura,acura_0022.png,/srv/groups/group2/data/Dataset/Car Brand Classification Dataset/train/Acura/acura_0022.png
acura,acura_0023.png,/srv/groups/group2/data/Dataset/Car Brand Classification Dataset/train/Acura/acura_0023.png
acura,acura_0024.png,/srv/groups/group2/data/Dataset/Car Brand Classification Dataset/train/Acura/acura_0024.png
acura,acura_0025.png,/srv/groups/group2/data/Dataset/Car Brand Classification Dataset/train/Acura/acura_0025.png
